user_id,gender,age_group,join_date,region
user_0,F,30,2024-01-01 00:52:45,Other
user_1,F,30,2024-01-01 05:31:04,Seoul
user_2,M,40,2024-01-01 06:16:35,Gyeonggi
user_3,F,30,2024-01-01 08:41:33,Daegu
user_4,F,30,2024-01-01 15:01:11,Gyeonggi
user_5,F,20,2024-01-01 16:44:39,Other
user_6,F,30,2024-01-01 19:02:12,Incheon
user_7,M,60+,2024-01-02 00:45:06,Seoul
user_8,M,30,2024-01-02 02:31:55,Gyeonggi
user_9,F,60+,2024-01-02 06:16:35,Busan
user_10,M,50,2024-01-02 06:46:50,Gyeonggi
user_11,F,50,2024-01-02 06:59:11,Seoul
user_12,M,30,2024-01-02 10:06:04,Incheon
user_13,M,20,2024-01-02 10:50:54,Other
user_14,M,50,2024-01-02 14:45:14,Daegu
user_15,M,30,2024-01-02 14:56:21,Seoul
user_16,F,30,2024-01-02 17:27:40,Seoul
user_17,F,30,2024-01-02 20:31:59,Daegu
user_18,M,20,2024-01-03 00:15:12,Seoul
user_19,F,30,2024-01-03 04:21:54,Seoul
user_20,F,30,2024-01-03 06:37:04,Seoul
user_21,F,10,2024-01-03 07:53:10,Gyeonggi
user_22,M,50,2024-01-03 08:26:02,Gyeonggi
user_23,M,20,2024-01-03 11:03:47,Gyeonggi
user_24,M,40,2024-01-03 13:05:23,Seoul
user_25,M,30,2024-01-03 13:36:30,Seoul
user_26,F,20,2024-01-03 16:55:11,Seoul
user_27,F,30,2024-01-03 19:02:11,Other
user_28,M,30,2024-01-03 19:43:04,Incheon
user_29,F,30,2024-01-03 23:45:42,Other
user_30,M,30,2024-01-04 04:52:59,Incheon
user_31,M,20,2024-01-04 06:16:51,Other
user_32,M,40,2024-01-04 07:14:50,Busan
user_33,M,40,2024-01-04 09:11:06,Busan
user_34,F,10,2024-01-04 12:29:01,Other
user_35,M,30,2024-01-04 12:29:51,Busan
user_36,M,10,2024-01-04 13:35:39,Gyeonggi
user_37,M,40,2024-01-04 18:24:16,Gyeonggi
user_38,M,50,2024-01-04 19:31:15,Seoul
user_39,M,40,2024-01-04 23:21:07,Daegu
user_40,F,30,2024-01-05 01:14:41,Incheon
user_41,F,40,2024-01-05 03:38:04,Gyeonggi
user_42,M,50,2024-01-05 05:27:59,Incheon
user_43,M,60+,2024-01-05 05:55:31,Busan
user_44,M,40,2024-01-05 08:49:37,Seoul
user_45,F,50,2024-01-05 11:37:32,Gyeonggi
user_46,F,20,2024-01-05 16:31:19,Seoul
user_47,F,10,2024-01-05 20:06:43,Gyeonggi
user_48,M,40,2024-01-05 22:51:18,Incheon
user_49,F,30,2024-01-05 23:23:53,Busan
user_50,M,20,2024-01-06 02:12:03,Seoul
user_51,F,30,2024-01-06 04:14:39,Other
user_52,M,50,2024-01-06 05:02:15,Gyeonggi
user_53,M,60+,2024-01-06 06:24:36,Busan
user_54,F,10,2024-01-06 06:43:59,Gyeonggi
user_55,M,20,2024-01-06 10:14:26,Busan
user_56,F,50,2024-01-06 12:58:07,Seoul
user_57,F,30,2024-01-06 15:01:03,Other
user_58,F,30,2024-01-06 23:22:26,Incheon
user_59,F,30,2024-01-07 02:15:21,Other
user_60,F,40,2024-01-07 05:44:39,Gyeonggi
user_61,M,30,2024-01-07 09:51:16,Gyeonggi
user_62,F,40,2024-01-07 14:04:44,Seoul
user_63,M,20,2024-01-07 14:27:28,Seoul
user_64,F,30,2024-01-07 14:51:14,Seoul
user_65,F,50,2024-01-07 17:16:10,Busan
user_66,F,30,2024-01-07 18:27:13,Busan
user_67,F,30,2024-01-07 19:24:29,Other
user_68,M,40,2024-01-07 20:51:44,Gyeonggi
user_69,F,10,2024-01-07 21:19:32,Seoul
user_70,F,40,2024-01-07 21:37:29,Seoul
user_71,F,10,2024-01-07 22:14:15,Seoul
user_72,M,30,2024-01-08 00:30:47,Incheon
user_73,M,20,2024-01-08 02:20:41,Busan
user_74,F,20,2024-01-08 03:45:30,Incheon
user_75,F,30,2024-01-08 04:28:38,Daegu
user_76,F,30,2024-01-08 06:55:16,Busan
user_77,F,40,2024-01-08 07:08:28,Daegu
user_78,M,40,2024-01-08 12:13:14,Seoul
user_79,F,50,2024-01-08 14:55:34,Seoul
user_80,M,20,2024-01-08 15:07:00,Seoul
user_81,F,20,2024-01-08 15:51:26,Gyeonggi
user_82,M,30,2024-01-08 16:05:01,Incheon
user_83,F,20,2024-01-08 18:28:25,Seoul
user_84,F,10,2024-01-08 20:20:09,Gyeonggi
user_85,M,40,2024-01-08 21:11:44,Other
user_86,F,20,2024-01-08 21:31:42,Gyeonggi
user_87,M,20,2024-01-08 21:57:51,Busan
user_88,F,30,2024-01-09 02:20:19,Gyeonggi
user_89,F,50,2024-01-09 04:16:14,Seoul
user_90,M,40,2024-01-09 05:48:30,Incheon
user_91,M,30,2024-01-09 11:47:46,Gyeonggi
user_92,F,50,2024-01-09 12:15:44,Seoul
user_93,F,20,2024-01-09 19:09:47,Gyeonggi
user_94,M,40,2024-01-09 20:37:55,Gyeonggi
user_95,M,30,2024-01-10 02:49:31,Seoul
user_96,F,40,2024-01-10 05:39:42,Seoul
user_97,F,40,2024-01-10 06:09:12,Seoul
user_98,M,60+,2024-01-10 07:38:27,Seoul
user_99,F,40,2024-01-10 11:44:47,Other
user_100,M,30,2024-01-10 12:57:43,Other
user_101,F,40,2024-01-10 13:03:09,Seoul
user_102,M,40,2024-01-10 16:07:23,Gyeonggi
user_103,M,40,2024-01-10 20:59:25,Busan
user_104,F,30,2024-01-10 22:53:52,Incheon
user_105,F,50,2024-01-11 00:28:16,Seoul
